-ford,浅瀬,アサセ
shut,〈ドア,〈ドア
shutdown,閉鎖,ヘイサ
shutdown,操業停止,ソウギョウテイシ
shuteye,眠り,ネムリ
shutout,シャットアウト,シャットアウト
shutter,よろい戸,ヨロイド
shutter,雨戸,アマド
shutter,シャッター,シャッター
shutterbug,写真ファン,シャシンファン
shuttlecock,羽根,ハネ
shyster,いかさま弁護士,イカサマベンゴシ
shyster,いかさま師,イカサマシ
Siam,シャム,シャム
Siamese,シャム人,シャムジン
Siamese,シャム語,シャムゴ
Siberia,シベリア,シベリア
Siberian,シベリア人,シベリアジン
sibling,きょうだい,キョウダイ
sibyl,みこ,ミコ
sibyl,女占い師,ジョウラナイシ
sibyl,女予言者,ジョヨゲンシャ
Sicilian,シチリア人,シチリアジン
Sicilian,シチリア方言,シチリアホウゲン
Sicily,シチリア島,シチリアトウ
Sicily,シシリー島,シシリートウ
sick,複数扱い》病人,フクスウアツカイ》ビョウニン
sickbay,病室,ビョウシツ
sickbed,病床,ビョウショウ
sickle,小がま,ショウガマ
sickness,病気,ビョウキ
sickness,吐き気,ハキケ
sickout,病気欠勤スト,ビョウキケッキンスト
sickroom,病室,ビョウシツ
sidearm,携帯武器,ケイタイブキ
sideboard,サイドボード,サイドボード
sidecar,サイドカー,サイドカー
sidecar,側車,ガワシャ
sidekick,相棒,アイボウ
sidekick,親友,シンユウ
sidelight,横明かり,ヨコアカリ
sidelight,側灯,ガワトウ
sidelight,横窓,ヨコマド
sideline,側線,ソクセン
sideline,サイドライン,サイドライン
sideline,内職,ナイショク
sideline,副業,フクギョウ
sideman,器楽奏者,キガクソウシャ
sideman,伴奏器楽奏者,バンソウキガクソウシャ
sidepiece,側面部,ソクメンブ
siderite,菱鉄鉱,ヒシテッコウ
siderite,隕鉄,隕鉄
sidesaddle,横くら,ヨコクラ
sideshow,小さな出し物,チイサナダシモノ
sideshow,余興,ヨキョウ
sideslip,横すべり,ヨコスベリ
sideslip,横転,オウテン
sidesman,教区委員補佐役,キョウクイインホサヤク
sidesman,教会世話役,キョウカイセワヤク
sidestroke,横泳ぎ,ヨコオヨギ
sidetrack,〈人,〈ヒト
sidetrack,わき道,ワキミチ
sidetrack,側線,ソクセン
sidetrack,待避線,タイヒセン
sidewalk,歩道,ホドウ
sidewinder,ヨコバイガラガラヘビ,ヨコバイガラガラヘビ
siding,側線,ソクセン
siding,待避線,タイヒセン
siding,下見張り,シモミハリ
siding,壁板,カベイタ
siege,包囲,ホウイ
siege,包囲攻撃,ホウイコウゲキ
sienna,シエンナ,シエンナ
sierra,山脈,サンミャク
siesta,昼寝,ヒルネ
siesta,午睡,ゴスイ
sift,〈粉,〈コナ
sift,砂,スナ
sifter,調査官,チョウサカン
sigh,ため息,タメイキ
sightseeing,見物,ケンブツ
sightseeing,観光,カンコウ
sightseer,観光客,カンコウキャク
sigma,シグマ,シグマ
signal,信号,シンゴウ
signal,合図,アイズ
signal,きっかけ,キッカケ
signal,動機,ドウキ
signal,導火線,ドウカセン
signal,〈人,〈ヒト
signaler,信号手,シンゴウシュ
signaler,信号機,シンゴウキ
signaller,信号手,シンゴウシュ
signaller,信号機,シンゴウキ
signalman,信号手,シンゴウシュ
signalman,信号係,シンゴウガカリ
signalman,通信兵,ツウシンヘイ
signatory,加盟国,カメイコク
signatory,調印国,チョウインコク
signatory,署名者,ショメイシャ
signature,署名,ショメイ
signature,音楽記号,オンガクキゴウ
signboard,看板,カンバン
signer,署名者,ショメイシャ
signet,認め印,ミトメイン
signet,印,シルシ
significance,意味,イミ
significance,意義,イギ
signification,意味,イミ
signification,意義,イギ
signification,表示,ヒョウジ
signification,表明,ヒョウメイ
signpost,道しるべ,ミチシルベ
signpost,道標,ドウヒョウ
signpost,看板柱,カンバンバシラ
Sikh,シク教徒,シクキョウト
silage,貯蔵牧草,チョゾウボクソウ
silence,静けさ,シズケサ
silence,沈黙,チンモク
silence,無言,ムゴン
silence,無沙汰,ムサタ
silence,〈人,〈ヒト
silent,無声映画,ムセイエイガ
silhouette,影絵,カゲエ
silhouette,シルエット,シルエット
silhouette,影法師,カゲボウシ
silhouette,輪郭,リンカク
silica,無水ケイ酸,ムスイケイサン
silica,ケイ土,ケイド
silicate,ケイ酸塩,ケイサンシオ
silicon,ケイ素,ケイソ
silicone,シリコーン,シリコーン
silicosis,珪肺症,ケイハイショウ
silicosis,珪粉症,珪粉ショウ
silk,生糸,キイト
silk,絹糸,ケンシ
silk,絹織物,キヌオリモノ
silk,絹布,ケンプ
silk,絹物,キヌモノ
silk,勅選弁護士,ミコトノリセンベンゴシ
silken,柔らなか,ヤワラナカ
silkworm,蚕,カイコ
sill,敷居,シキイ
sillabub,シラバブ,シラバブ
syllabub,シラバブ,シラバブ
silly,おばかさん,オバカサン
silt,沈泥,沈泥
silt,〈水路,〈スイロ
silt,〈水路,〈スイロ
Silurian,シルル紀,シルルオサム
silverfish,セイヨウシミ,セイヨウシミ
silversmith,銀細工師,ギンザイクシ
silverware,銀器,ギンキ
silverware,食卓用刃物,ショクタクヨウハモノ
simian,類人猿,ルイジンエン
simian,猿,サル
similarity,類似,ルイジ
similarity,相似,ソウジ
similarity,類似点,ルイジテン
similitude,類似,ルイジ
similitude,相似,ソウジ
similitude,たとえ,タトエ
similitude,比較,ヒカク
simony,聖職売買,セイショクバイバイ
simper,作り笑い,ツクリワライ
simple,薬草,ヤクソウ
simple,薬用植物,ヤクヨウショクブツ
simpleton,愚か者,オロカモノ
simplicity,平易,ヘイイ
simplicity,地味,ジミ
simplicity,質素,シッソ
simplicity,実直,ジッチョク
simplification,簡易化,カンイカ
simplification,単一化,タンイツカ
simply,単に,タンニ
simply,ただ,タダ
simulacrum,幻影,ゲンエイ
simulacrum,面影,オモカゲ
simulacrum,像,ゾウ
simulation,まね,マネ
simulation,模擬実験,モギジッケン
simulator,シミュレーター,シミュレーター
simultaneity,同時性,ドウジセイ
simultaneously,同時に,ドウジニ
simultaneousness,同時性,ドウジセイ
sin,罪,ツミ
sin,罪悪,ザイアク
Sindbad,シンドバッド,シンドバッド
Sinbad,シンドバッド,シンドバッド
sine,正弦,セイゲン
sine,サイン,サイン
sinecure,閑職,カンショク
sinew,筋,スジ
sinew,腱,ケン
sinew,筋肉,キンニク
sinew,活力,カツリョク
sinew,体力,タイリョク
Singapore,シンガポール,シンガポール
singer,歌手,カシュ
singing,歌,ウタ
singing,歌唱,カショウ
singing,声楽,セイガク
singing,歌声,ウタゴエ
singing,耳鳴り,ミミナリ
single-decker,一階バス,イチカイバス
singleness,単独,タンドク
singleness,独身,ドクシン
singleness,専念,センネン
singleness,専心,センシン
singlestick,棒試合,ボウシアイ
singleton,1枚札,1マイサツ
singly,一つ一つ,ヒトツヒトツ
singsong,即席合唱会,ソクセキガッショウカイ
singular,単数,タンスウ
singularity,風変り,フウガワリ
singularity,特徴,トクチョウ
singularity,単独,タンドク
singularity,単一性,タンイツセイ
Sinhalese,シンハリー人,シンハリージン
Sinhalese,シンハリー語,シンハリーゴ
sink,〈船,〈フネ
sink,士気,シキ
sink,名声,メイセイ
sink,洗面器,センメンキ
sink,下水溝,ゲスイミゾ
sinker,おもり,オモリ
sinker,シンカー,シンカー
sinker,ドーナツ,ドーナツ
sinkhole,排水口,ハイスイグチ
sinkhole,ドリーネ,ドリーネ
sinking,沈没,チンボツ
sinking,陥没,カンボツ
sinking,衰弱,スイジャク
sinking,意気消沈,イキショウチン
sinner,罪人,ザイニン
Sinology,中国学,チュウゴクガク
Sinology,中国研究,チュウゴクケンキュウ
sinuosity,湾曲,ワンキョク
sinuosity,湾曲部,ワンキョクブ
sinus,洞,ホラ
sinus,静脈洞,ジョウミャクホラ
sinusitis,洞炎,ホラエン
sinusitis,静脈洞炎,ジョウミャクホラエン
Siouan,スー語族,スーゴゾク
Siouan,スーインディアン,スーインディアン
Siouan,スー族,スーゾク
Sioux,スーインディアン,スーインディアン
Sioux,スー族,スーゾク
Sioux,スー語,スーゴ
sir,見知らぬ人,ミシラヌヒト
sir,上官,ジョウカン
sir,先生,センセイ
sir,だんな,ダンナ
sir,先生,センセイ
sir,君,キミ
sir,サー,サー
sir,拝啓,ハイケイ
siren,サイレン,サイレン
siren,警笛,ケイテキ
siren,サイレン,サイレン
siren,美女,ビジョ
siren,妖婦,ヨウフ
Sirius,シリウス,シリウス
Sirius,天狼星,テンオオカミボシ
sirloin,サーロイン,サーロイン
sirocco,シロッコ,シロッコ
sisal,シサル麻,シサルアサ
sissy,弱虫,ヨワムシ
sister,~,~
sister,妹,イモウト
sister,婦人会員,フジンカイイン
sister,修道女,シュウドウオンナ
sister,尼僧,ニソウ
sister,シスター,シスター
sister,看護婦長,カンゴフチョウ
sisterhood,友好関係,ユウコウカンケイ
sisterhood,集団,シュウダン
sisterhood,グループ,グループ
sisterhood,修道女会,シュウドウオンナカイ
Sisyphus,シシュフォス,シシュフォス
sit,〈議会,〈ギカイ
sit-in,座り込み,スワリコミ
sit-up,シットアップ,シットアップ
sit-upon,尻,シリ
sitar,シタール,シタール
site,場所,バショ
site,敷地,シキチ
site,用地,ヨウチ
site,遺跡,イセキ
site,現場,ゲンバ
sitting,着席,チャクセキ
sitting,一仕事,イチシゴト
sitting,開会,カイカイ
sitting,開廷,カイテイ
sitting,抱卵,抱卵
sitting,座席,ザセキ
situation,立場,タチバ
situation,状態,ジョウタイ
situation,境遇,キョウグウ
situation,事態,ジタイ
situation,形勢,ケイセイ
situation,情況,ジョウキョウ
situation,位置,イチ
situation,環境,カンキョウ
situation,就職口,シュウショクグチ
situation,勤め口,ツトメグチ
situs,位置,イチ
situs,原位置,ゲンイチ
six,6,6
six,6時,6ジ
six,6分,6フン
six,6歳,6サイ
six,6人,6ニン
six,6個,6コ
six-shooter,6連発ピストル,6レンパツピストル
sixpence,6ペンス銀貨,6ペンスギンカ
sixteen,16,16
sixteen,16時,16ジ
sixteen,16分,16フン
sixteen,16歳,16サイ
sixteen,16人,16ニン
sixteen,16個,16コ
sixteenth,第16,ダイ16
sixteenth,16番目,16バンメ
sixteenth,16日,16ニチ
sixteenth,16分の1,16ブンノ1
sixth,第6,ダイ6
sixth,6番目,6バンメ
sixth,6日,6ニチ
sixth,6分の1,6ブンノ1
sixtieth,第60,ダイ60
sixtieth,60番目,60バンメ
sixtieth,60分の1,60ブンノ1
sixty,60,60
sixty,60歳,60サイ
sixty,60人,60ニン
sixty,60個,60コ
sixty,60年代,60ネンダイ
sixty,60代,60ダイ
sizing,のり付け,ノリヅケ
sizing,サイズ剤,サイズザイ
sizing,のり剤,ノリザイ
SJ,イエズス会,イエズスカイ
S.J.,イエズス会,イエズスカイ
skag,ヘロイン,ヘロイン
skate,ガンギエイ,ガンギエイ
skateboard,スケートボード,スケートボード
skeet,スキート射撃,スキートシャゲキ
skein,混乱,コンラン
skein,群れ,ムレ
skeleton,骨格,コッカク
skeleton,骨組み,ホネグミ
skeleton,骨子,コッシ
skeleton,粗筋,アラスジ
skeleton,概要,ガイヨウ
skeptic,懐疑論者,カイギロンシャ
skeptic,キリスト教不信仰者,キリストキョウフシンコウシャ
skeptic,無神論者,ムシンロンシャ
skepticism,懐疑,カイギ
skepticism,懐疑論,カイギロン
skepticism,無神論,ムシンロン
sketchbook,スケッチブック,スケッチブック
sketchbook,写生帳,シャセイチョウ
sketchbook,小品文集,ショウヒンブンシュウ
sketchbook,随筆集,ズイヒツシュウ
sketchiness,スケッチふう,スケッチフウ
skibob,スキーボブ,スキーボブ
skidlid,ヘルメット,ヘルメット
skier,スキーヤー,スキーヤー
skiff,スキフ,スキフ
skiing,スキー,スキー
skiing,スキー術,スキージュツ
skill,熟練,ジュクレン
skill,技量,ギリョウ
skill,腕,ウデ
skillet,フライパン,フライパン
skimmer,スキマー,スキマー
skimp,〈金銭,〈キンセン
skin,皮膚,ヒフ
skin,肌,ハダ
skin,皮,カワ
skin,毛皮,ケガワ
skin,皮製品,カワセイヒン
skin,皮袋,カワブクロ
skin,皮,カワ
skin,上皮,ジョウヒ
skin,外皮,ガイヒ
skin,外被,ソトヒ
skin,外板,ソトイタ
skin,〈動物,〈ドウブツ
skinful,皮袋いっぱい,カワブクロイッパイ
skinner,毛皮商人,ケガワショウニン
skip,スキップ,スキップ
skip,主将,シュショウ
skipper,セセリチョウ,セセリチョウ
skipping,縄跳び,ナワトビ
skipping,拾い読み,ヒロイヨミ
skirl,金切り声,カナキリゴエ
skirmish,小衝突,ショウショウトツ
skirmish,小論争,ショウロンソウ
skirmish,いざこざ,イザコザ
skirmisher,前衛,ゼンエイ
skittle,単数扱い》九柱戯,タンスウアツカイ》キュウハシラ戯
skoal,乾杯,カンパイ
skua,オオトウゾクカモメ,オオトウゾクカモメ
skulduggery,いんちき,インチキ
skullduggery,いんちき,インチキ
skull,頭がい骨,ズガイコツ
skull,しゃれこうべ,シャレコウベ
skull,おつむ,オツム
skull,頭,アタマ
skullcap,丸ずきん,マルズキン
sky,空,ソラ
sky,上空,ジョウクウ
sky,空模様,ソラモヨウ
sky,天候,テンコウ
sky,気候,キコウ
sky,天国,テンゴク
sky,天,テン
skycap,手荷物運搬係,テニモツウンパンガカリ
skycap,赤帽,アカボウ
skydiving,スカイダイビング,スカイダイビング
Skylab,スカイラブ,スカイラブ
skylark,ヒバリ,ヒバリ
skylight,天窓,テンマド
skylight,明かり窓,アカリマド
skyline,地平線,チヘイセン
skyline,スカイライン,スカイライン
skyscraper,摩天楼,マテンロウ
skyscraper,超高層ビル,チョウコウソウビル
skywriting,空中文字,クウチュウモジ
skywriting,空中広告,クウチュウコウコク
slab,厚板,アツイタ
slab,平板,ヘイバン
slack,粉炭,フンタン
slacker,怠け者,ナマケモノ
slackwater,憩潮,イコイシオ
slag,のろ,ノロ
slag,鉱滓,コウサイ
slag,スラグ,スラグ
slalom,スラローム,スラローム
slalom,回転競技,カイテンキョウギ
slam,〈戸,〈ト
slam,〈戸,〈ト
slanderer,中傷者,チュウショウシャ
slang,俗語,ゾクゴ
slang,スラング,スラング
slang,通語,ツウゴ
slang,仲間言葉,ナカマコトバ
slapjack,パンケーキ,パンケーキ
slapstick,どたばた喜劇,ドタバタキゲキ
slate,板岩,イタイワ
slate,スレート,スレート
slate,石板,セキバン
slate,公認候補者名簿,コウニンコウホシャメイボ
slate,スレート色,スレートショク
slating,屋根用スレート,ヤネヨウスレート
slating,酷評,コクヒョウ
slaughter,屠殺,トサツ
slaughter,畜殺,畜殺
slaughter,大虐殺,ダイギャクサツ
slaughter,完敗,カンパイ
slaughterer,屠殺人,トサツジン
slaughterer,虐殺者,ギャクサツシャ
slaughterhouse,屠殺場,トサツジョウ
Slav,スラブ人,スラブジン
Slav,スラブ民族,スラブミンゾク
slave,奴隷,ドレイ
slave,とりこ,トリコ
slaver,奴隷商人,ドレイショウニン
slaver,奴隷貿易船,ドレイボウエキセン
slavery,奴隷制度,ドレイセイド
Slavic,スラブ語族,スラブゴゾク
slayer,殺害者,サツガイシャ
sleep,眠り,ネムリ
sleep,睡眠,スイミン
sleep,一眠り,ヒトネムリ
sleep,永眠,エイミン
sleep,死,シ
sleep,無感覚,ムカンカク
sleep,しびれ,シビレ
sleep,冬眠,トウミン
sleep,目やに,メヤニ
sleepiness,眠け,ネムケ
sleepwalker,夢遊病者,ムユウビョウシャ
sleepwalking,夢遊病,ムユウビョウ
sleepyhead,お寝坊さん,オネボウサン
sleeve,そで,ソデ
sleeve,たもと,タモト
sleeve,スリーブ,スリーブ
sleigh,そり,ソリ
sleight-of-hand,策略,サクリャク
sleight-of-hand,ごまかし,ゴマカシ
slept,過去分詞,カコブンシ
sleuth,探偵,タンテイ
slew,どっさり,ドッサリ
slew,たくさん,タクサン
slice,一枚,イチマイ
slice,一切れ,イチキレ
slice,分け前,ワケマエ
slice,一部,イチブ
slice,スライス,スライス
slice,フライ返し,フライガエシ
slicer,薄切り機,ウスギリキ
slicer,スライサー,スライサー
slid,過去分詞,カコブンシ
slider,滑動部,ナメラドウブ
slider,スライダー,スライダー
slight,侮辱,ブジョク
slight,無礼,ブレイ
slightness,軽徴,ケイチョウ
slim,〈体,〈カラダ
slime,粘液,ネンエキ
slime,ぬめり,ヌメリ
slingshot,パチンコ,パチンコ
slip,〈物価,〈ブッカ
slip,滑り,スベリ
slip,ちょっとした誤り,チョットシタアヤマリ
slip,失策,シッサク
slip,荷揚げ用斜面,ニアゲヨウシャメン
slip,修理用船台,シュウリヨウセンダイ
slip,スリップ,スリップ
slip,まくらカバー,マクラカバー
slip,小片,ショウヘン
slip,伝票,デンピョウ
slip,切り枝,キリエダ
slip,液状陶土,エキジョウトウド
slipknot,引き結び,ヒキムスビ
slipper,スリッパ,スリッパ
slips,スリップ,スリップ
slipstream,後流,コウリュウ
slipup,誤り,アヤマリ
slipway,船架,フネカ
slit,スリット,スリット
sloe,リンボク,リンボク
slog,強打,キョウダ
slogan,スローガン,スローガン
slogan,標語,ヒョウゴ
sloop,スループ型帆船,スループガタハンセン
sloop,スループ型砲艦,スループガタホウカン
slop,ぬかるみ,ヌカルミ
slop,流動食,リュウドウショク
slop,残飯,ザンパン
slop,排せつ物,ハイセツブツ
sloppiness,乱雑,ランザツ
slouch,怠け者,ナマケモノ
slough,ぬかるみ,ヌカルミ
slough,どろ沼,ドロヌマ
slough,沼地,ヌマチ
slough,湿地,シッチ
slough,抜け殻,ヌケガラ
slough,かさぶた,カサブタ
Slovak,スロバキア人,スロバキアジン
Slovak,スロバキア語,スロバキアゴ
slowcoach,のろま,ノロマ
slowdown,怠業,タイギョウ
slowpoke,のろま,ノロマ
slowworm,ヘビトカゲ,ヘビトカゲ
slowworm,アシナシトカゲ,アシナシトカゲ
sludge,軟泥,軟泥
sludge,沈積物,チンセキブツ
sludge,おり,オリ
sludge,小浮氷,ショウフヒョウ
slug,弾丸,ダンガン
slug,たま,タマ
slug,偽造硬貨,ギゾウコウカ
slug,ナメクジ,ナメクジ
sluggard,怠け者,ナマケモノ
slugger,強打者,キョウダシャ
sluice,せき,セキ
sluice,放水路,ホウスイロ
sluice,水門,スイモン
sluice,せき水,セキスイ
sluiceway,水門溝,スイモンミゾ
sluiceway,人工水路,ジンコウスイロ
slum,貧民くつ,ヒンミンクツ
slum,貧民街,ヒンミンガイ
slum,スラム,スラム
slumber,眠り,ネムリ
slumlord,アパート家主,アパートヤヌシ
slump,スランプ,スランプ
slump,暴落,ボウラク
slung,過去分詞,カコブンシ
slunk,過去分詞,カコブンシ
slur,中傷,チュウショウ
slur,悪口,ワルグチ
slur,スラー,スラー
slush,ぬかるみ,ヌカルミ
smack,味,アジ
smack,風味,フウミ
smacker,ドル,ドル
small,小物,コモノ
small,小間物,コマモノ
smallholder,小自作農,ショウジサクノウ
smallholding,小自作農地,ショウジサクノウチ
smallness,狭量,キョウリョウ
smallpox,天然痘,テンネントウ
smarten,〈人,〈ヒト
smarten,〈人,〈ヒト
smartness,いき,イキ
smartness,ハイカラ,ハイカラ
smartness,敏速,ビンソク
smartness,利口,リコウ
smasher,粉砕工,フンサイコウ
smasher,強打,キョウダ
smasher,墜落,ツイラク
smashup,衝突,ショウトツ
smashup,大失敗,ダイシッパイ
smashup,崩壊,ホウカイ
smashup,破産,ハサン
smelt,過去分詞,カコブンシ
smelt,キュウリウオ,キュウリウオ
smelter,精錬工,セイレンコウ
smelter,溶解装置工場,ヨウカイソウチコウジョウ
smilax,サルトリイバラ,サルトリイバラ
smilax,クサナギカズラ,クサナギカズラ
smile,〈好運,〈コウウン
smile,微笑,ビショウ
smith,かじ屋,カジヤ
smith,金属細工人,キンゾクザイクジン
smith,製造人,セイゾウジン
smithereens,小破片,ショウハヘン
smithy,かじ場,カジジョウ
smock,上っ張り,ウワッパリ
smock,スモック,スモック
smocking,亀甲形ひだ飾り,キッコウガタヒダカザリ
smocking,ダイヤモンド形模様飾り,ダイヤモンドガタモヨウカザリ
smocking,スモッキング,スモッキング
smog,スモッグ,スモッグ
smog,煙霧,エンム
smoke,煙,ケムリ
smoke,喫煙,キツエン
smoke,たばこ,タバコ
smoke,紙巻きたばこ,カミマキタバコ
smoke,〈たばこ,〈タバコ
smokehouse,薫製場,クンセイジョウ
smoker,喫煙家,キツエンカ
smoker,喫煙車,キツエンシャ
smokescreen,煙幕,エンマク
smokestack,煙突,エントツ
smokestack,煙出し,ケムダシ
smokestack,煙突,エントツ
Smokey,森林火災防止マーク,シンリンカサイボウシマーク
smokiness,煙だらけ,ケムリダラケ
smoking,喫煙,キツエン
smooch,キス,キス
smooch,愛撫,アイブ
smooch,抱擁,ホウヨウ
smoothbore,滑腔銃,ナメラ腔銃
smorgasbord,バイキング料理,バイキングリョウリ
smuggler,密輸業者,ミツユギョウシャ
snack,軽食,ケイショク
snack,スナック,スナック
snaffle,はみ,ハミ
snaffle,小勒,ショウ勒
snail,カタツムリ,カタツムリ
snake,ヘビ,ヘビ
snake,へび,ヘビ
snakeskin,蛇革,ヘビカワ
snapdragon,キンギョソウ,キンギョソウ
snapper,フエダイ,フエダイ
snapshot,スナップ,スナップ
snare,わな,ワナ
snare,わな,ワナ
snare,落とし穴,オトシアナ
snare,さわり弦,サワリツル
snare,響線,ヒビキセン
snarl,混乱,コンラン
snarl,紛糾,フンキュウ
snarl,〈髪,〈カミ
snarl-up,交通渋滞,コウツウジュウタイ
snatcher,ひったくり,ヒッタクリ
snatcher,泥棒,ドロボウ
sneaker,スニーカー,スニーカー
sneerer,冷笑家,レイショウカ
sneeze,くしゃみ,クシャミ
snicker,忍び笑い,シノビワライ
sniffer,におい探知器,ニオイタンチキ
sniffle,鼻かぜ,ハナカゼ
sniffle,鼻づまり,ハナづまり
snifter,ブランデーグラス,ブランデーグラス
snifter,少量,ショウリョウ
snifter,ほんの一口,ホンノヒトクチ
snipe,シギ,シギ
snippet,切れ端,キレハシ
snippet,断片,ダンペン
snippet,小片,ショウヘン
snob,地位崇拝者,チイスウハイシャ
snobbery,気取り,キドリ
snobbery,地位崇拝,チイスウハイ
snobbery,俗物根性,ゾクブツコンジョウ
snog,キス,キス
snog,愛撫,アイブ
snood,ヘアネット,ヘアネット
snoot,鼻,ハナ
snooze,うたた寝,ウタタネ
snore,いびき,イビキ
snorkel,シュノーケル,シュノーケル
snorkel,スノーケル,スノーケル
snorter,ぐい飲み,グイノミ
snot,鼻水,ハナミズ
snout,鼻,ハナ
snout,鼻先,ハナサキ
snout,筒口,ツツグチ
snout,刻みたばこ,キザミタバコ
snout,巻きたばこ,マキタバコ
snowberry,セッコウボク,セッコウボク
snowdrop,ユキノハナ,ユキノハナ
snowfall,降雪,コウセツ
snowfall,降雪量,コウセツリョウ
snowfield,雪原,セツゲン
snowflake,雪片,セッペン
snowline,雪線,セッセン
snowmobile,雪上車,セツジョウシャ
snowshoe,かんじき,カンジキ
snowslide,なだれ,ナダレ
snowstorm,吹雪,フブキ
snub,けんつく,ケンツク
snub,冷遇,レイグウ
snuck,過去分詞,カコブンシ
snuffbox,かぎたばこ入れ,カギタバコイレ
snug,酒場,サカバ
snuggle,〈子供,〈コドモ
so-called,いわゆる,イワユル
soaked,びしょぬれの,びしょぬれの
soapbox,石けん箱,セッケンバコ
soapiness,石けん質,セッケンシツ
soapstone,石けん石,セッケンセキ
soar,〈希望,〈キボウ
soberness,しらふ,シラフ
sobriety,しらふ,シラフ
sobriquet,あだ名,アダナ
soccer,サッカー,サッカー
sociability,社交性,シャコウセイ
sociability,交際じょうず,コウサイジョウズ
social,親睦会,シンボクカイ
social,懇親会,コンシンカイ
socialism,社会主義,シャカイシュギ
socialist,社会主義者,シャカイシュギシャ
socialist,社会党員,シャカイトウイン
socialization,社会主義化,シャカイシュギカ
socialisation,社会主義化,シャカイシュギカ
socialize,〈国,〈クニ
socialise,〈国,〈クニ
socially,社交上,シャコウジョウ
society,社会,シャカイ
society,世間,セケン
society,社会,シャカイ
society,会,カイ
society,協会,キョウカイ
society,クラブ,クラブ
society,上流社会,ジョウリュウシャカイ
society,社交界,シャコウカイ
society,交際,コウサイ
society,つきあい,ツキアイ
society,社交,シャコウ
sociologist,社会学者,シャカイガクシャ
sociology,社会学,シャカイガク
sock,ソックス,ソックス
socket,穴,アナ
socket,受け口,ウケグチ
socket,ソケット,ソケット
socket,窩,窩
Socrates,ソクラテス,ソクラテス
sod,男色者,ナンショクシャ
sod,やつ,ヤツ
soda,ソーダ,ソーダ
soda,炭酸ソーダ,タンサンソーダ
soda,重炭酸ソーダ,ジュウタンサンソーダ
sodden,びしょぬれの,びしょぬれの
sodium,ソジウム,ソジウム
sodium,ナトリウム,ナトリウム
Sodom,ソドム,ソドム
sodomite,男色家,ナンショクカ
sodomite,獣姦者,シシカンシャ
sodomy,男色,ナンショク
sodomy,獣姦,シシカン
sofa,ソファー,ソファー
Sofia,ソフィア,ソフィア
softball,ソフトボール,ソフトボール
soften,〈声,〈コエ
soften,音,オト
soften,光,ヒカリ
soften,〈心,〈ココロ
soften,〈身体,〈シンタイ
softener,軟化剤,ナンカザイ
softness,温和,オンワ
software,ソフトウェア,ソフトウェア
softwood,針葉樹材,シンヨウジュザイ
softwood,軟材,軟材
sogginess,びしょぬれ,びしょぬれ
soggy,びしょぬれの,びしょぬれの
Soho,ソーホー,ソーホー
soil,土,ド
soil,土壌,ドジョウ
soil,土,ド
soil,国,クニ
soil,地方,チホウ
soil,土地,トチ
soil,農地,ノウチ
soil,汚れ,ヨゴレ
soil,汚点,オテン
soil,しみ,シミ
soil,汚物,オブツ
soiree,夜会,ヤカイ
soirée,夜会,ヤカイ
sojourn,逗留,トウリュウ
sojourner,逗留者,トウリュウシャ
sojourner,滞在者,タイザイシャ
sol,ソ,ソ
sol,ソル,ソル
Sol,太陽,タイヨウ
solarium,日光浴室,ニッコウヨクシツ
solarium,サンルーム,サンルーム
sold,過去分詞,カコブンシ
soldier,軍人,グンジン
soldier,下士官,カシカン
soldier,兵士,ヘイシ
soldier,戦士,センシ
soldier,闘士,トウシ
soldiery,軍人,グンジン
soldiery,兵隊,ヘイタイ
soldiery,軍事教練,グンジキョウレン
sole,靴底,クツソコ
sole,ウシノシタ,ウシノシタ
sole,シタビラメ,シタビラメ
solecism,文法違反,ブンポウイハン
solecism,破格,ハカク
solecism,無作法,ブサホウ
solecism,エチケット違反,エチケットイハン
solely,ただ,タダ
solely,もっぱら,モッパラ
solemnity,荘厳,ショウゴン
solenoid,筒形コイル,ツツガタコイル
solicit,〈金銭,〈キンセン
solicitation,懇請,コンセイ
solicitation,懇願,コンガン
solicitor,嘆願者,タンガンシャ
solicitor,選挙運動員,センキョウンドウイン
solicitor,事務弁護士,ジムベンゴシ
solicitude,心配,シンパイ
solid,固体,コタイ
solid,固形物,コケイブツ
solid,立方体,リッポウタイ
solidarity,一致団結,イッチダンケツ
solidarity,結束,ケッソク
solidification,凝固,ギョウコ
solidification,結束,ケッソク
solidification,団結,ダンケツ
solidity,固体性,コタイセイ
solidus,ソリドゥス,ソリドゥス
solidus,斜線,シャセン
soliloquy,独白,ドクハク
soliloquy,ひとり言,ヒトリゲン
solipsism,唯我論,タダワガロン
solipsism,自己中心主義,ジコチュウシンシュギ
solipsist,唯我論主義者,タダワガロンシュギシャ
solipsist,自己中心主義者,ジコチュウシンシュギシャ
solitaire,ひとり遊び,ヒトリアソビ
solitude,弧独,コドク
solitude,独居,ドッキョ
solitude,辺地,ヘンチ
solo,独唱曲,ドクショウキョク
solo,独奏曲,ドクソウキョク
solo,独唱,ドクショウ
solo,独奏,ドクソウ
solo,ソロ,ソロ
solo,単独飛行,タンドクヒコウ
solo,ソロ,ソロ
soloist,独奏者,ドクソウシャ
soloist,独唱者,ドクショウシャ
Solomon,ソロモン大王,ソロモンダイオウ
Solon,ソロン,ソロン
solstice,至,イタリ
solubility,溶解性,ヨウカイセイ
solubility,溶解度,ヨウカイド
